Carregando closes (756d) de 37 tickers...
CSNA3-USIM5        0.0919    1.671      n/a         no        YES
CSNA3-VALE3        0.8664    0.199      n/a         no         no
GGBR4-GOAU4        0.1345    1.774      n/a         no         no
GGBR4-USIM5        0.7631    2.474      n/a         no         no
GGBR4-VALE3        0.1636    0.308      n/a         no         no
GOAU4-USIM5        0.7929    1.394      n/a         no         no
GOAU4-VALE3        0.1069    0.174      n/a         no         no
USIM5-VALE3        0.8057    0.118      n/a         no         no

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
CMIN3-CSNA3        0.8652    0.398      n/a         no         no
CMIN3-GGBR4        0.4792    0.251      n/a         no         no
CMIN3-GOAU4        0.4049    0.462      n/a         no         no
CMIN3-USIM5        0.6355    0.661      n/a         no         no
CMIN3-VALE3        0.3001    0.079      n/a         no         no
CSNA3-GGBR4        0.5900    0.615      n/a         no         no
CSNA3-GOAU4        0.6639    1.125      n/a         no         no
CSNA3-USIM5        0.0099    1.666     29.4        YES        YES
CSNA3-VALE3        0.6821    0.193      n/a         no         no
GGBR4-GOAU4        0.7576    1.826      n/a         no         no
GGBR4-USIM5        0.5774    2.609      n/a         no         no
GGBR4-VALE3        0.1036    0.312      n/a         no         no
GOAU4-USIM5        0.6160    1.428      n/a         no         no
GOAU4-VALE3        0.0923    0.171      n/a         no        YES
USIM5-VALE3        0.5446    0.115      n/a         no         no

## PAPEL_CELULOSE — 2 tickers, 1 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
KLBN11-SUZB3        0.0038    0.352      7.2        YES        YES

### lookback=504d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
KLBN11-SUZB3        0.0167    0.353     16.6        YES        YES

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
KLBN11-SUZB3        0.0142    0.352     26.6        YES        YES

## VAREJO — 5 tickers, 10 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
AMER3-LREN3        0.0537    0.390      n/a         no        YES
AMER3-MGLU3        0.2004    0.686      n/a         no         no
AMER3-PETZ3        0.0005    1.423      6.5        YES        YES
AMER3-RENT3        0.0102    0.158      8.6        YES        YES
LREN3-MGLU3        0.5425    1.709      n/a         no         no
LREN3-PETZ3        0.6252    3.534      n/a         no         no
LREN3-RENT3        0.4752    0.399      n/a         no         no
MGLU3-PETZ3        0.1565    2.035      n/a         no         no
MGLU3-RENT3        0.0544    0.230      n/a         no        YES
PETZ3-RENT3        0.5252    0.111      n/a         no         no

### lookback=504d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
AMER3-LREN3        0.4061    1.900      n/a         no         no
AMER3-MGLU3        0.0738    2.919      n/a         no        YES
AMER3-PETZ3        0.3975    6.765      n/a         no         no
AMER3-RENT3        0.3366    0.771      n/a         no         no
